stop_id,stop_code,stop_name,stop_lat,stop_lon,ars_id,stop_uid,stop_type,in_dongdaemun
04001,04001,답십리역사거리,37.5654496,127.0543962,04001,103000001,,0
04002,04002,청년회의소.서울새활용플라자,37.562035,127.060482,04002,103000002,,0
04003,04003,장한평역,37.561188,127.066093,04003,103000003,,0
05001,05001,군자교입구,37.558741,127.0756461,05001,104000001,,0
05002,05002,군자교입구,37.5587937,127.0749003,05002,104000002,,0
05003,05003,군자역.용마초등학교,37.5560989,127.0824731,05003,104000003,,0
05004,05004,군자역.용마초등학교,37.556267,127.081557,05004,104000004,,0
05005,05005,중곡동입구삼거리,37.5544966,127.0865505,05005,104000005,,0
05006,05006,어린이대공원후문.아차산역,37.5512085,127.0901492,05006,104000006,,0
05007,05007,어린이대공원후문.아차산역,37.5527549,127.0892142,05007,104000007,,0
05008,05008,중곡동입구삼거리,37.554926,127.085229,05008,104000299,,0
05009,05009,새밭교회,37.548983,127.093185,05009,104000296,,0
05010,05010,새밭교회,37.5490936,127.0926378,05010,104000295,,0
05011,05011,광나루역,37.545741,127.102649,05011,104000298,,0
05012,05012,광나루역,37.545156,127.103764,05012,104000297,,0
06001,06001,답십리역사거리,37.5651871,127.0550605,06001,105000001,중앙차로,1
06002,06002,청년회의소,37.5619653,127.0612838,06002,105000002,중앙차로,1
06003,06003,장한평역,37.5611511,127.067287,06003,105000003,중앙차로,1
06004,06004,신답초등학교.청계한신휴플러스,37.571753,127.044292,06004,105000004,,0
06005,06005,신답초등학교.청계한신휴플러스,37.5717559,127.0447281,06005,105000005,,0
06006,06006,동대문구청,37.5740954,127.0383272,06006,105000006,중앙차로,1
06007,06007,서울시동부병원,37.5739293,127.0309536,06007,105000007,중앙차로,1
06008,06008,신설동역.서울풍물시장,37.5744279,127.0257177,06008,105000008,중앙차로,1
06009,06009,중랑교,37.5916996,127.067704,06009,105000009,중앙차로,1
06010,06010,중랑교,37.5914246,127.0668384,06010,105000010,중앙차로,1
06011,06011,삼육서울병원.삼육보건대학교,37.5896913,127.0606859,06011,105000011,중앙차로,1
06012,06012,삼육서울병원.삼육보건대학교,37.5899925,127.0619514,06012,105000012,중앙차로,1
06013,06013,시조사삼거리.회기역,37.588707,127.056888,06013,105000013,중앙차로,1
06014,06014,떡전교사거리.동대문노인복지관,37.5864439,127.0520112,06014,105000014,중앙차로,1
06015,06015,청량리역환승센터,37.5804025,127.0454307,06015,105000015,중앙차로,1
06016,06016,청량리역환승센터,37.5802509,127.0460771,06016,105000016,중앙차로,1
06017,06017,동대문구청,37.5734589,127.0399889,06017,105000017,중앙차로,1
06018,06018,청량리역환승센터,37.5802241,127.0457513,06018,105000447,중앙차로,1
06019,06019,청량리역환승센터,37.5803029,127.0457231,06019,105000446,중앙차로,1
06020,06020,청량리역환승센터,37.5807153,127.0453667,06020,105000402,중앙차로,1
06021,06021,청량리미주아파트.동대문세무서,37.58278,127.048395,06021,105000478,중앙차로,1
06022,06022,청량리청과물도매시장,37.5787911,127.0406051,06022,105000480,중앙차로,1
06023,06023,제기동역.서울약령시,37.5781433,127.0377802,06023,105000482,중앙차로,1
06024,06024,제기동역.서울약령시,37.5782168,127.0353229,06024,105000481,중앙차로,1
06025,06025,용두동사거리,37.5775321,127.0299882,06025,105000484,중앙차로,1
06026,06026,용두동사거리.한국의류시험연구원,37.5771527,127.0282789,06026,105000483,중앙차로,1
06027,06027,신설동역,37.57615,127.0250446,06027,105000486,중앙차로,1
06028,06028,신설동역,37.5758268,127.0238433,06028,105000485,중앙차로,1
06101,06101,신설동역3번출구,37.5764536,127.0255837,06101,105000018,가로변시간,1
06102,06102,신설동역4번출구,37.5762454,127.025947,06102,105000019,일반차로,1
06103,06103,용두동한국의류시험연구원,37.5775188,127.0291142,06103,105000020,가로변시간,1
06104,06104,용두로타리한국의류시험연구원,37.5772565,127.029482,06104,105000021,가로변시간,1
06105,06105,제기역약령시장,37.578297,127.0366096,06105,105000022,일반차로,1
