busRouteId,rtNm,seq,stId,arsId,stationNm,stop_lon,stop_lat,direction,trnstnid
100100047,271,62,113000181,14272,월드컵파크7단지,126.878963,37.581876,월드컵파크7단지,113000181
100100047,271,63,218000523,35446,대덕동행정복지센터,126.8767488993,37.5851903936,용마문화복지센터,113000181
100100047,271,64,113000432,14335,월드컵파크9.10.11.12단지,126.879965,37.584397,용마문화복지센터,113000181
100100047,271,65,113000197,14291,상암고등학교,126.8841995172,37.5819239214,용마문화복지센터,113000181
100100047,271,66,113000195,14289,월드컵파크5단지,126.8865178403,37.5803332786,용마문화복지센터,113000181
100100047,271,67,113000193,14287,상암DMC홍보관.YTN,126.8912875667,37.5774605863,용마문화복지센터,113000181
100100047,271,68,113000028,14118,월드컵파크2단지.에스플렉스센터,126.8902909609,37.5753384971,용마문화복지센터,113000181
100100047,271,69,113000018,14108,월드컵파크3단지.난지천공원,126.888463,37.57232,용마문화복지센터,113000181
100100047,271,70,113000410,14332,월드컵공원입구.문화비축기지입구,126.892749,37.568177,용마문화복지센터,113000181
100100047,271,71,113000013,14103,마포농수산물시장.월드컵공원,126.897454,37.566106,용마문화복지센터,113000181
100100047,271,72,113000012,14102,마포구청,126.9018904171,37.5649023958,용마문화복지센터,113000181
100100047,271,73,113000162,14253,망원동방울내길입구,126.9057249395,37.5605946475,용마문화복지센터,113000181
100100047,271,74,113000159,14250,망원시장.망원동월드컵시장입구,126.908759,37.557338,용마문화복지센터,113000181
100100047,271,75,113000158,14249,기업은행서교동지점(최규하대통령가옥),126.9108956213,37.5548695099,용마문화복지센터,113000181
100100047,271,76,113000155,14246,성산초등학교입구,126.9118676593,37.5531302266,용마문화복지센터,113000181
100100047,271,77,113000154,14245,마포한강푸르지오,126.912592,37.550787,용마문화복지센터,113000181
100100047,271,78,113000129,14220,합정역4번출구,126.9153071515,37.5502177028,용마문화복지센터,113000181
100100047,271,79,113000423,14013,서교동,126.9195815796,37.5536367406,용마문화복지센터,113000181
100100047,271,80,113000505, ,홍대입구역(가상),126.9218643721,37.5552260552,용마문화복지센터,113000181
100100047,271,81,113000422,14015,홍대입구역,126.923466,37.556641,용마문화복지센터,113000181
100100047,271,82,113000421,14061,동교동삼거리,126.928546,37.558069,용마문화복지센터,113000181
100100047,271,83,113000420,14062,신촌오거리.현대백화점,126.9358930618,37.5553966479,용마문화복지센터,113000181
100100047,271,84,113000419,14063,신촌오거리.2호선신촌역,126.94015,37.55611,용마문화복지센터,113000181
100100047,271,85,113000418,14064,이대역,126.944495,37.556652,용마문화복지센터,113000181
100100047,271,86,113000476,14067,웨딩타운,126.951517,37.557092,용마문화복지센터,113000181
100100047,271,87,113000477,14068,아현역,126.954943,37.557293,용마문화복지센터,113000181
100100047,271,88,112000430,13045,충정로역,126.963315,37.560855,용마문화복지센터,113000181
100100047,271,89,101000304,13047,서대문역사거리,126.966565,37.565579,용마문화복지센터,113000181
100100047,271,90,100000380,01007,서울역사박물관.경희궁앞,126.97038,37.569135,용마문화복지센터,113000181
100100047,271,91,100000384,01009,광화문역,126.9763534416,37.5701416811,용마문화복지센터,113000181
100100047,271,92,100000386,01011,종로1가.종각역,126.9810660928,37.5701482455,용마문화복지센터,113000181
100100047,271,93,100000388,01013,종로2가,126.984991,37.57017,용마문화복지센터,113000181
100100047,271,94,100000390,01015,종로3가역.탑골공원,126.9893256464,37.5702088889,용마문화복지센터,113000181
100100047,271,95,100000392,01017,종로4가.종묘,126.9947218896,37.5705069968,용마문화복지센터,113000181
100100047,271,96,100000394,01019,종로5가역.광장시장,126.9990604685,37.5707860047,용마문화복지센터,113000181
100100047,271,97,100000396,01021,종로6가.동대문종합시장,127.004464,37.57101,용마문화복지센터,113000181
100100047,271,98,100000398,01023,동대문역.흥인지문,127.013813,37.572449,용마문화복지센터,113000181
100100047,271,99,100000366,01041,동묘앞.서울혜화경찰서,127.0186102731,37.5738321574,용마문화복지센터,113000181
100100047,271,100,105000486,06027,신설동역,127.0250446359,37.5761500409,용마문화복지센터,113000181
100100047,271,101,105000484,06025,용두동사거리,127.0299882252,37.5775320632,용마문화복지센터,113000181
100100047,271,102,105000482,06023,제기동역.서울약령시,127.037779,37.578144,용마문화복지센터,113000181
