ars_id,busRouteId,rtNm
06426,100100026,147
06426,100100039,202
06426,100100595,241
06426,100100042,260
06426,100100043,261
06426,100100044,262
06426,100100046,270
06426,100100047,271
06426,100100048,272
06426,100100068,420
06426,100100111,720
06426,100100198,2221
06426,100100204,2233
06426,100100593,N13
06426,100100586,N26
06426,111000017,N72
06500,105900001,동대문05
06501,105900006,동대문03
06502,105900003,동대문01
06502,105900002,동대문02
06503,105900001,동대문05
06504,105900006,동대문03
06505,105900002,동대문02
06506,105900003,동대문01
06507,100100024,145
06507,100100184,1227
06507,100100190,2015
06507,100100191,2112
06508,105900002,동대문02
06509,105900002,동대문02
06510,105900003,동대문01
06510,100000025,동대문A01
06511,105900001,동대문05
06512,105900002,동대문02
06513,105900002,동대문02
06515,105900001,동대문05
06516,105900002,동대문02
06517,105900002,동대문02
06518,105900002,동대문02
06519,105900001,동대문05
06520,105900002,동대문02
06521,105900002,동대문02
06523,105900001,동대문05
06524,105900006,동대문03
06526,105900001,동대문05
06528,105900002,동대문02
06530,105900001,동대문05
06533,105900001,동대문05
06537,105900001,동대문05
06539,105900002,동대문02
06546,105900006,동대문03
06556,105900002,동대문02
06557,107900005,성북04
06559,105900002,동대문02
06560,105900002,동대문02
06564,105900002,동대문02
06567,105900002,동대문02
06570,105900002,동대문02
06572,105900006,동대문03
06575,105900001,동대문05
06576,105900001,동대문05
06577,105900001,동대문05
06578,105900001,동대문05
06579,105900001,동대문05
06580,105900001,동대문05
06581,105900001,동대문05
06582,105900001,동대문05
06583,105900001,동대문05
06584,105900001,동대문05
06585,105900001,동대문05
06586,105900001,동대문05
06587,105900001,동대문05
06588,105900001,동대문05
06591,105900004,성북20
06591,105900005,성북21
06594,105900003,동대문01
06595,105900006,동대문03
06626,100100420,6013
06628,100100420,6013
06629,100100420,6013
06631,100100420,6013
06755,100100413,6002
06755,115000009,N6002
06756,100100413,6002
06757,100100413,6002
06758,100100413,6002
06768,100100420,6013
06774,110000002,173
06774,100100409,421
06775,100100015,110B국민대
06775,100100020,141
06775,100100175,1213
06775,100100179,1222
06775,100100199,2222
06776,100100016,110A고려대
06776,100100017,120
06776,100100018,130
06776,100100020,141
06776,100100027,148
06776,100100199,2222
06777,100100420,6013
06778,100100420,6013
06779,100100024,145
06779,100100111,720
06779,100100177,1218
06779,100100218,3220
06779,106000001,8221
06780,100100184,1227
06780,100100215,3216
06781,100100184,1227
06999,100100215,3216
06999,222000028,165남양주
06999,222000048,166-1남양주
06999,222000004,202남양주
06999,234000003,30광주
06999,222000002,707남양주
08157,107900005,성북04
08157,100100006,101
08157,104000009,111
08157,100100023,144
08157,110000002,173
08157,100100130,1017
08157,100100344,7211
08157,117000002,N51
