ars_id,busRouteId,rtNm
06023,100100038,201
06023,100100039,202
06023,100100595,241
06023,100100042,260
06023,100100043,261
06023,100100044,262
06023,100100046,270
06023,100100047,271
06023,100100048,272
06023,100100068,420
06023,100100111,720
06023,100100198,2221
06023,100100204,2233
06023,100100593,N13
06023,100100586,N26
06023,111000017,N72
06024,100100010,105
06024,100100026,147
06024,100100038,201
06024,100100039,202
06024,100100595,241
06024,100100042,260
06024,100100043,261
06024,100100044,262
06024,100100046,270
06024,100100047,271
06024,100100048,272
06024,100100068,420
06024,100100409,421
06024,100100111,720
06024,100100598,2115
06024,100100198,2221
06024,100100204,2233
06024,100100593,N13
06024,100100586,N26
06024,111000017,N72
06025,100100413,6002
06025,100100010,105
06025,100100038,201
06025,100100042,260
06025,100100043,261
06025,100100044,262
06025,100100046,270
06025,100100047,271
06025,100100048,272
06025,100100068,420
06025,100100409,421
06025,100100111,720
06025,100100198,2221
06025,100100204,2233
06025,100100593,N13
06025,100100586,N26
06025,111000017,N72
06026,100100010,105
06026,100100038,201
06026,100100042,260
06026,100100043,261
06026,100100044,262
06026,100100046,270
06026,100100047,271
06026,100100048,272
06026,100100068,420
06026,100100409,421
06026,100100111,720
06026,100100204,2233
06026,100100593,N13
06026,100100586,N26
06026,111000017,N72
06027,100100413,6002
06027,100100010,105
06027,100100038,201
06027,100100042,260
06027,100100043,261
06027,100100044,262
06027,100100046,270
06027,100100047,271
06027,100100048,272
06027,100100068,420
06027,100100111,720
06027,100100204,2233
06027,100100593,N13
06027,100100586,N26
06027,111000017,N72
06028,100100010,105
06028,100100038,201
06028,100100042,260
06028,100100043,261
06028,100100044,262
06028,100100046,270
06028,100100047,271
06028,100100068,420
06028,100100111,720
06028,100100204,2233
06028,100100593,N13
06028,100100586,N26
06028,111000017,N72
06101,107900005,성북04
06101,100100048,272
06101,100100409,421
06101,100100344,7211
06102,100100053,303
06102,100100409,421
06102,100100198,2221
06103,107900005,성북04
06103,100100344,7211
06104,100100053,303
06105,236000149,3200포천
06106,100100409,421
06107,100100006,101
06107,100100008,103
06107,104000009,111
06107,100100023,144
06107,100100031,152
06107,110000002,173
06107,100100048,272
06107,100100344,7211
06107,100100610,N15
06107,117000002,N51
06112,100100111,720
06112,239000110,1330-2가평
06112,239000135,1330-3가평
06112,239000024,1330-44가평
06112,239000111,1330-4가평
06112,222000028,165남양주
06112,222000048,166-1남양주
06112,222000004,202남양주
06112,234000003,30광주
06112,236000149,3200포천
06112,222000050,51남양주
06112,222000031,65남양주
06113,105900001,동대문05
06113,100100583,121
06113,100100111,720
06113,100100184,1227
06113,100100203,2230
06113,100100215,3216
06114,100100010,105
06114,100100017,120
06114,100100583,121
06114,100100026,147
06114,100100039,202
06114,100100595,241
06114,100100042,260
06114,100100043,261
06114,100100046,270
06114,100100047,271
06114,100100048,272
06114,100100068,420
06114,100100111,720
06114,100100175,1213
06114,100100179,1222
06114,100100181,1224
06114,100100184,1227
06114,100100598,2115
06114,100100203,2230
06114,100100215,3216
06114,100100218,3220
06114,239000110,1330-2가평
06114,239000135,1330-3가평
06114,239000024,1330-44가평
06114,239000111,1330-4가평
06114,222000028,165남양주
06114,222000048,166-1남양주
06114,222000004,202남양주
06114,234000003,30광주
06114,236000149,3200포천
06114,222000050,51남양주
06114,222000031,65남양주
06114,222000002,707남양주
06114,100100593,N13
06114,100100586,N26
06114,111000017,N72
06115,100100215,3216
06115,222000028,165남양주
06115,222000048,166-1남양주
06115,222000004,202남양주
06115,234000003,30광주
06115,222000002,707남양주
06117,100100010,105
06117,100100039,202
06117,100100595,241
06117,100100042,260
06117,100100046,270
06117,100100047,271
06117,100100048,272
06117,100100175,1213
06117,100100181,1224
06117,100100184,1227
06117,100100598,2115
06117,222000028,165남양주
06117,222000048,166-1남양주
06117,222000004,202남양주
06117,234000003,30광주
06117,236000149,3200포천
06117,222000050,51남양주
06117,222000031,65남양주
06117,222000002,707남양주
06117,100100586,N26
06118,105900006,동대문03
06118,100100194,2211
06120,100100017,120
06120,100100026,147
06120,100100043,261
06120,100100179,1222
06120,100100593,N13
06121,105900006,동대문03
06121,100100194,2211
06122,100100017,120
06122,100100026,147
06122,100100043,261
06122,100100049,273
06122,100100179,1222
06122,100100593,N13
06123,100100017,120
06123,100100026,147
06123,100100043,261
06123,100100049,273
06123,100100179,1222
06123,100100593,N13
06124,100100017,120
06124,100100026,147
06124,100100043,261
06124,100100049,273
06124,100100179,1222
06124,100100593,N13
06125,100100017,120
06125,100100026,147
06125,100100043,261
06125,100100049,273
06125,100100179,1222
06125,100100593,N13
06126,100100017,120
06126,100100026,147
06126,100100043,261
06126,100100049,273
06126,100100179,1222
06126,100100593,N13
06127,100100017,120
06127,100100026,147
06127,100100043,261
06127,100100049,273
06127,100100179,1222
06127,100100593,N13
06128,105900002,동대문02
06128,100100017,120
06128,100100026,147
06128,100100043,261
06128,100100179,1222
06128,100100593,N13
06129,100100017,120
06129,100100026,147
06129,100100043,261
06129,100100179,1222
06129,100100593,N13
06130,122000012,6100-1
06130,100100017,120
06130,100100026,147
06130,100100043,261
06130,100100179,1222
06130,100100593,N13
06131,100100017,120
06131,100100026,147
06131,100100043,261
06131,100100179,1222
06131,100100593,N13
06132,100100024,145
06132,100100425,1122
06132,100100177,1218
06133,100100024,145
06133,100100425,1122
06133,100100177,1218
06134,100100024,145
06134,100100049,273
06134,100100177,1218
06135,100100024,145
06135,100100049,273
06135,100100177,1218
06136,105900006,동대문03
06136,100100024,145
06136,100100049,273
06136,100100177,1218
06136,100100194,2211
06137,100100024,145
06137,100100177,1218
06137,100100204,2233
06138,100100024,145
06139,100100024,145
06140,105900006,동대문03
06140,100100024,145
06140,100100177,1218
06140,100100194,2211
06141,105900006,동대문03
06141,100100024,145
06141,100100177,1218
06141,100100194,2211
06141,100100204,2233
06142,105900006,동대문03
06142,100100024,145
06142,100100177,1218
06142,100100188,2013
06142,100100194,2211
06142,100100599,2311
06143,100100024,145
06143,100100177,1218
06143,100100188,2013
06143,100100191,2112
06143,100100194,2211
06143,100100204,2233
06143,100100599,2311
06144,105900006,동대문03
06144,100100024,145
06144,100100177,1218
06144,100100188,2013
06144,100100191,2112
06144,100100194,2211
06144,100100204,2233
06144,100100599,2311
06145,100100024,145
06145,100100177,1218
06145,100100204,2233
06145,106000001,8221
06146,100100024,145
06146,100100177,1218
06146,100100204,2233
06147,100100024,145
06147,100100177,1218
06147,100100204,2233
06147,106000001,8221
06148,100100024,145
06148,100100177,1218
06148,100100204,2233
06149,100100024,145
06149,100100194,2211
06149,100100218,3220
06150,100100024,145
06150,100100111,720
06150,100100177,1218
06150,100100218,3220
06150,106000001,8221
06151,100100024,145
06151,100100194,2211
06151,100100218,3220
06152,100100024,145
06152,100100194,2211
06152,100100218,3220
06153,100100024,145
06153,100100111,720
06153,100100177,1218
06153,100100218,3220
06153,106000001,8221
06154,100100024,145
06154,100100194,2211
06154,100100218,3220
06155,100100191,2112
06155,100100204,2233
06155,104000010,2416
06156,100100194,2211
06157,100100024,145
06157,100100177,1218
06157,106000001,8221
06158,100100024,145
06158,100100068,420
06158,100100190,2015
06158,106000001,8221
06159,105900001,동대문05
06159,100100024,145
06159,100100184,1227
06159,100100190,2015
06159,100100191,2112
06160,100100024,145
06160,100100190,2015
06160,100100191,2112
06161,100100053,303
06161,100100061,370
06161,100100112,721
06161,100100191,2112
06161,100100198,2221
06161,100100591,N30
06162,100100053,303
06162,100100061,370
06162,100100112,721
06162,100100191,2112
06162,100100198,2221
06162,234000309,9301광주
06162,100100591,N30
06163,100100061,370
06163,100100112,721
06163,100100191,2112
06163,234000309,9301광주
06163,100100591,N30
06164,100100015,110B국민대
06164,100100409,421
06164,100100184,1227
06164,100100199,2222
06165,100100015,110B국민대
06165,100100018,130
06165,100100020,141
06165,100100027,148
06165,100100199,2222
06166,100100016,110A고려대
06166,100100017,120
06166,100100020,141
06166,100100027,148
06166,100100409,421
06166,100100199,2222
06167,100100583,121
06167,100100018,130
06167,100100027,148
06167,101000009,새벽A148
06167,100100183,1226
06167,100100203,2230
06167,222000050,51남양주
06167,222000031,65남양주
06168,100100016,110A고려대
06168,100100017,120
06168,100100583,121
06168,100100175,1213
06168,100100179,1222
06168,100100181,1224
06168,100100598,2115
06168,100100392,9408
06168,204000067,341성남
06169,100100016,110A고려대
06169,100100017,120
06169,100100018,130
06169,100100020,141
06169,100100027,148
06169,101000009,새벽A148
06169,100100199,2222
06170,100100015,110B국민대
06170,100100583,121
06170,100100018,130
06170,100100020,141
06170,100100027,148
06170,100100175,1213
06171,100100016,110A고려대
06171,100100583,121
06171,100100018,130
06171,100100020,141
06171,100100027,148
06171,100100175,1213
06171,100100179,1222
06171,100100598,2115
06171,100100199,2222
06172,100100015,110B국민대
06172,100100583,121
06172,100100018,130
06172,100100020,141
06172,100100027,148
06172,100100175,1213
06172,100100215,3216
06173,100100015,110B국민대
06173,100100583,121
06173,100100018,130
06173,100100020,141
06173,100100027,148
06173,101000009,새벽A148
06173,100100175,1213
06173,100100215,3216
06174,100100016,110A고려대
06174,100100583,121
06174,100100018,130
06174,100100020,141
06174,100100027,148
06174,101000009,새벽A148
06174,100100175,1213
06174,100100179,1222
06174,100100184,1227
06174,100100199,2222
06175,100100006,101
06175,104000009,111
06175,100100023,144
06175,110000002,173
06175,100100049,273
06175,100100130,1017
06175,100100132,1111
06175,107000007,1112
06175,100100179,1222
06175,100100184,1227
06175,100100199,2222
06175,100100344,7211
06175,117000002,N51
06176,100100006,101
06176,104000009,111
06176,100100023,144
06176,110000002,173
06176,100100130,1017
06176,100100179,1222
06176,100100609,4425
06176,100100344,7211
06176,204000007,357성남
06176,117000002,N51
06177,100100006,101
06177,104000009,111
06177,100100023,144
06177,110000002,173
06177,100100130,1017
06177,100100609,4425
06177,100100344,7211
06177,204000007,357성남
06177,117000002,N51
06178,107900005,성북04
06178,100100006,101
06178,104000009,111
06178,100100023,144
06178,110000002,173
06178,100100344,7211
06178,117000002,N51
06179,107900005,성북04
06179,100100130,1017
06179,100100344,7211
06180,100100130,1017
06180,100100598,2115
06180,100100609,4425
06180,204000007,357성남
06181,107900005,성북04
06181,100100130,1017
06181,100100609,4425
06181,100100344,7211
06181,204000007,357성남
06182,100100026,147
06182,100100039,202
06182,100100595,241
06182,100100053,303
06182,100100130,1017
06182,100100198,2221
06183,100100017,120
06183,100100026,147
06183,100100039,202
06183,100100595,241
06183,100100130,1017
06184,100100026,147
06184,100100039,202
06184,100100595,241
06184,100100130,1017
06185,100100026,147
06185,100100039,202
06185,100100595,241
06185,100100130,1017
06185,100100198,2221
06186,105900001,동대문05
06186,100100583,121
06186,100100068,420
06186,100100111,720
06186,100100203,2230
06186,100100215,3216
06186,111000017,N72
06187,105900001,동대문05
06187,100100583,121
06187,100100068,420
06187,100100111,720
06187,100100184,1227
06187,100100203,2230
06187,100100215,3216
06187,100100218,3220
06187,111000017,N72
06188,100100583,121
06188,100100068,420
06188,100100111,720
06188,100100203,2230
06188,100100215,3216
06188,111000017,N72
06189,100100583,121
06189,100100068,420
06189,100100111,720
06189,100100184,1227
06189,100100203,2230
06189,100100215,3216
06189,100100218,3220
06189,111000017,N72
06190,100100583,121
06190,100100068,420
06190,100100111,720
06190,100100203,2230
06190,100100215,3216
06190,111000017,N72
06191,100100583,121
06191,100100068,420
06191,100100111,720
06191,100100184,1227
06191,100100203,2230
06191,100100215,3216
06191,100100218,3220
06191,111000017,N72
06192,100100068,420
06192,100100111,720
06192,100100190,2015
06192,100100198,2221
06192,100100215,3216
06192,100100218,3220
06193,100100111,720
06193,100100198,2221
06193,100100215,3216
06193,100100218,3220
06194,100100111,720
06194,100100198,2221
06194,100100215,3216
06194,100100218,3220
06195,100100068,420
06195,100100111,720
06195,100100190,2015
06195,100100198,2221
06195,100100215,3216
06195,100100218,3220
06196,100100111,720
06196,100100177,1218
06196,100100198,2221
06196,100100215,3216
06197,100100068,420
06197,100100190,2015
06197,100100198,2221
06197,100100215,3216
06198,100100111,720
06198,100100177,1218
06198,100100198,2221
06198,100100215,3216
06199,100100068,420
06199,100100190,2015
06199,100100198,2221
06199,100100215,3216
06200,100100177,1218
06200,100100198,2221
06200,100100215,3216
06201,100100068,420
06201,100100190,2015
06201,100100198,2221
06201,100100215,3216
06202,100100583,121
06202,100100184,1227
06202,100100188,2013
06202,100100191,2112
06203,100100583,121
06203,100100068,420
06203,100100188,2013
06203,100100190,2015
06203,100100191,2112
06204,100100583,121
06204,100000025,동대문A01
06204,100100184,1227
06204,100100188,2013
06204,100100198,2221
06204,100100204,2233
06204,100100218,3220
06205,100100583,121
06205,100100068,420
06205,100000025,동대문A01
06205,100100188,2013
06205,100100190,2015
06205,100100198,2221
06205,100100204,2233
06206,100100583,121
06206,100100184,1227
06206,100100188,2013
06206,100100198,2221
06206,100100204,2233
06206,100100218,3220
06207,100100583,121
06207,100100068,420
06207,100100188,2013
06207,100100190,2015
06207,100100198,2221
06207,100100204,2233
06208,100100188,2013
06208,100100190,2015
06208,100100203,2230
06208,100100204,2233
06208,111000017,N72
06209,100100188,2013
06209,100100190,2015
06209,100100203,2230
06209,100100204,2233
06209,111000017,N72
06210,100100188,2013
06210,100100190,2015
06210,100100203,2230
06210,100100204,2233
06210,111000017,N72
06211,100100190,2015
06211,100100203,2230
06211,100100204,2233
06211,111000017,N72
06212,105900006,동대문03
06212,100000025,동대문A01
06212,100100190,2015
06212,100100191,2112
06212,100100194,2211
06212,100100203,2230
06212,100100204,2233
06212,100100599,2311
06212,111000017,N72
06213,105900006,동대문03
06213,100000025,동대문A01
06213,100100190,2015
06213,100100194,2211
06213,100100203,2230
06213,100100599,2311
06213,106000001,8221
06213,111000017,N72
06214,105900006,동대문03
06214,100100190,2015
06214,100100191,2112
06214,100100203,2230
06214,100100204,2233
06214,100100599,2311
06214,104000010,2416
06214,111000017,N72
06215,100100190,2015
06215,100100203,2230
06215,100100204,2233
06215,100100599,2311
06215,104000010,2416
06215,111000017,N72
06216,100100044,262
06216,100000025,동대문A01
06216,100100198,2221
06216,100100204,2233
06216,100100218,3220
06217,100100044,262
06217,100000025,동대문A01
06217,100100198,2221
06217,100100204,2233
06218,100100044,262
06218,100100198,2221
06218,100100204,2233
06218,100100218,3220
06219,100100044,262
06219,100100198,2221
06219,100100204,2233
06220,100100044,262
06220,100000025,동대문A01
06220,100100198,2221
06220,100100204,2233
06220,100100218,3220
06221,100100044,262
06221,100000025,동대문A01
06221,100100198,2221
06221,100100204,2233
06222,100100044,262
06222,100100191,2112
06223,100100044,262
06223,100100191,2112
06224,100100044,262
06224,100100191,2112
06225,100100044,262
06225,100100111,720
06225,100100177,1218
06225,100100191,2112
06225,100100218,3220
06225,100100392,9408
06225,204000067,341성남
06226,100100044,262
06226,100100191,2112
06226,100100218,3220
06227,100100044,262
06227,100100111,720
06227,100100177,1218
06227,100100191,2112
06227,100100218,3220
06228,100100044,262
06228,100100191,2112
06228,100100218,3220
06229,100100044,262
06229,100100111,720
06229,100100177,1218
06229,100100191,2112
06229,100100218,3220
06230,100100044,262
06230,100100111,720
06230,100100191,2112
06230,100100218,3220
06231,100100044,262
06231,100100191,2112
06231,100100218,3220
06232,100100044,262
06232,100100191,2112
06232,100100194,2211
06232,100100204,2233
06233,100100044,262
06233,100100191,2112
06233,100100204,2233
06234,100100044,262
06234,100100191,2112
06234,100100204,2233
06235,100100044,262
06235,100100191,2112
06235,100100194,2211
06236,100100044,262
06236,100100191,2112
06236,100100194,2211
06236,100100204,2233
06237,100100194,2211
06237,104000010,2416
06237,106000001,8221
06238,100100191,2112
06238,100100194,2211
06238,100100204,2233
06238,104000010,2416
06239,100100194,2211
06239,104000010,2416
06239,106000001,8221
06240,100100191,2112
06240,100100194,2211
06240,100100204,2233
06240,104000010,2416
06241,100000025,동대문A01
06241,100100194,2211
06241,104000010,2416
06241,106000001,8221
06242,100000025,동대문A01
06242,100100191,2112
06242,100100194,2211
06242,100100204,2233
06242,104000010,2416
06243,100100191,2112
06243,100100204,2233
06243,104000010,2416
06244,100100194,2211
06244,104000010,2416
06244,106000001,8221
06245,100100191,2112
06245,100100204,2233
06245,104000010,2416
06246,100000025,동대문A01
06246,100100194,2211
06246,104000010,2416
06246,106000001,8221
06247,100000025,동대문A01
06247,100100191,2112
06247,100100204,2233
06247,104000010,2416
06248,100100194,2211
06248,104000010,2416
06248,106000001,8221
06249,100100191,2112
06249,100100204,2233
06249,104000010,2416
06250,100100191,2112
06250,100100204,2233
06250,104000010,2416
06251,100000025,동대문A01
06251,100100194,2211
06251,106000001,8221
06252,100000025,동대문A01
06252,100100191,2112
06252,100100204,2233
06252,104000010,2416
06253,106900001,중랑01
06253,100100425,1122
06253,111000019,2236
06254,106900001,중랑01
06254,100100049,273
06254,100100425,1122
06254,111000019,2236
06255,106900001,중랑01
06255,100100049,273
06255,100100425,1122
06255,111000019,2236
06256,105900006,동대문03
06256,100100194,2211
06257,105900006,동대문03
06257,100100194,2211
06258,100100191,2112
06258,100100204,2233
06259,100100191,2112
06259,100100204,2233
06260,100100191,2112
06260,100100204,2233
06261,100100191,2112
06262,100100191,2112
06262,100100204,2233
06263,100100191,2112
06263,100100204,2233
06264,100100191,2112
06265,100100191,2112
06265,100100204,2233
06266,100100191,2112
06267,100100191,2112
06268,100100191,2112
06269,100100194,2211
06270,105900003,동대문01
06270,100100038,201
06270,100100049,273
06270,100100215,3216
06271,100100038,201
06271,100100049,273
06272,100100038,201
06272,100100049,273
06272,100000025,동대문A01
06272,100100215,3216
06273,100100038,201
06273,100100049,273
06273,100000025,동대문A01
06274,100100038,201
06274,100100049,273
06275,100100038,201
06275,100100049,273
06275,100100215,3216
06276,100100049,273
06276,100100183,1226
06277,100100049,273
06277,100100183,1226
06277,100100215,3216
06278,100100038,201
06278,100000025,동대문A01
06278,100100183,1226
06279,100100038,201
06279,100000025,동대문A01
06279,100100183,1226
06280,100100038,201
06280,100100183,1226
06280,100100215,3216
06280,222000028,165남양주
06280,222000048,166-1남양주
06280,222000004,202남양주
06280,234000003,30광주
06280,222000002,707남양주
06281,105900001,동대문05
06281,100100038,201
06281,100100183,1226
06281,100100184,1227
06282,100100038,201
06282,100100183,1226
06282,100100215,3216
06282,222000028,165남양주
06282,222000048,166-1남양주
06282,222000004,202남양주
06282,234000003,30광주
06282,222000002,707남양주
06283,105900001,동대문05
06283,100100038,201
06283,100100183,1226
06283,100100184,1227
06283,100100215,3216
06284,105900001,동대문05
06284,100100038,201
06284,100000025,동대문A01
06284,100100215,3216
06285,100100038,201
06285,100000025,동대문A01
06285,100100183,1226
06285,100100203,2230
06285,100100215,3216
06285,239000110,1330-2가평
06285,239000135,1330-3가평
06285,239000024,1330-44가평
06285,239000111,1330-4가평
06285,222000028,165남양주
06285,222000048,166-1남양주
06285,222000004,202남양주
06285,234000003,30광주
06285,236000149,3200포천
06285,222000050,51남양주
06285,222000031,65남양주
06285,222000002,707남양주
06285,239000104,8005가평
06286,100100017,120
06286,100100181,1224
06287,100100183,1226
06287,100100203,2230
06287,236000149,3200포천
06287,222000050,51남양주
06287,222000031,65남양주
06288,100100179,1222
06289,100100184,1227
06289,100100199,2222
06290,100100598,2115
06291,100100184,1227
06291,100100199,2222
06293,100100049,273
06294,100100049,273
06296,100100049,273
06297,100100215,3216
06297,239000110,1330-2가평
06297,239000135,1330-3가평
06297,239000024,1330-44가평
06297,239000111,1330-4가평
06297,222000028,165남양주
06297,222000048,166-1남양주
06297,222000004,202남양주
06297,234000003,30광주
06297,222000002,707남양주
06297,239000104,8005가평
06298,100000025,동대문A01
06298,100100188,2013
06298,100100190,2015
06298,100100203,2230
