route_id,service_id,trip_id,direction_id
100100018,SER_20260912,100100018_108026080_215_d0,0
100100018,SER_20260912,100100018_108026080_215_d1,1
100100018,SER_20260912,100100018_108026080_252_d0,0
100100018,SER_20260912,100100018_108026080_84_d0,0
100100018,SER_20260912,100100018_108026080_84_d1,1
100100018,SER_20260912,100100018_108026081_161_d0,0
100100018,SER_20260912,100100018_108026081_161_d1,1
100100018,SER_20260912,100100018_108026087_187_d0,0
100100018,SER_20260912,100100018_108026087_187_d1,1
100100018,SER_20260912,100100018_108026087_75_d1,1
100100018,SER_20260912,100100018_108026130_64_d0,0
100100018,SER_20260912,100100018_108026130_64_d1,1
100100018,SER_20260912,100100018_108026131_222_d0,0
100100018,SER_20260912,100100018_108026131_222_d1,1
100100018,SER_20260912,100100018_108026131_81_d0,0
100100018,SER_20260912,100100018_108026131_81_d1,1
100100018,SER_20260912,100100018_108026150_60_d0,0
100100018,SER_20260912,100100018_108026150_60_d1,1
100100018,SER_20260912,100100018_108026153_61_d0,0
100100018,SER_20260912,100100018_108026153_61_d1,1
100100018,SER_20260912,100100018_108026155_184_d0,0
100100018,SER_20260912,100100018_108026155_184_d1,1
100100018,SER_20260912,100100018_108026155_77_d1,1
100100018,SER_20260912,100100018_108026160_174_d0,0
100100018,SER_20260912,100100018_108026160_174_d1,1
100100018,SER_20260912,100100018_108026160_226_d0,0
100100018,SER_20260912,100100018_108026160_226_d1,1
100100018,SER_20260912,100100018_108026161_183_d0,0
100100018,SER_20260912,100100018_108026161_183_d1,1
100100018,SER_20260912,100100018_108026161_76_d1,1
100100018,SER_20260912,100100018_108026162_160_d1,1
100100018,SER_20260912,100100018_108026163_68_d0,0
100100018,SER_20260912,100100018_108026163_68_d1,1
100100018,SER_20260912,100100018_108026164_73_d0,0
100100018,SER_20260912,100100018_108026164_73_d1,1
100100018,SER_20260912,100100018_108026250_157_d0,0
100100018,SER_20260912,100100018_108026250_157_d1,1
100100018,SER_20260912,100100018_108026250_249_d0,0
100100018,SER_20260912,100100018_108026251_74_d0,0
100100018,SER_20260912,100100018_108026251_74_d1,1
100100018,SER_20260912,100100018_108026274_240_d0,0
100100018,SER_20260912,100100018_108026274_240_d1,1
100100018,SER_20260912,100100018_108026274_67_d0,0
100100018,SER_20260912,100100018_108026274_67_d1,1
100100018,SER_20260912,100100018_108026275_243_d0,0
100100018,SER_20260912,100100018_108026275_243_d1,1
100100018,SER_20260912,100100018_108026275_69_d0,0
100100018,SER_20260912,100100018_108026275_69_d1,1
100100018,SER_20260912,100100018_108026316_213_d0,0
100100018,SER_20260912,100100018_108026316_213_d1,1
100100018,SER_20260912,100100018_108026316_86_d0,0
100100018,SER_20260912,100100018_108026316_86_d1,1
100100018,SER_20260912,100100018_108026320_232_d0,0
100100018,SER_20260912,100100018_108026320_232_d1,1
100100018,SER_20260912,100100018_108026320_79_d0,0
100100018,SER_20260912,100100018_108026320_79_d1,1
100100018,SER_20260912,100100018_108026369_242_d0,0
100100018,SER_20260912,100100018_108026369_242_d1,1
100100018,SER_20260912,100100018_108026369_70_d0,0
100100018,SER_20260912,100100018_108026369_70_d1,1
100100018,SER_20260912,100100018_108026372_63_d0,0
100100018,SER_20260912,100100018_108026372_63_d1,1
100100018,SER_20260912,100100018_108026439_216_d0,0
100100018,SER_20260912,100100018_108026439_216_d1,1
100100018,SER_20260912,100100018_108026439_250_d0,0
100100018,SER_20260912,100100018_108026439_85_d0,0
100100018,SER_20260912,100100018_108026439_85_d1,1
100100018,SER_20260912,100100018_108026440_219_d0,0
100100018,SER_20260912,100100018_108026440_219_d1,1
100100018,SER_20260912,100100018_108026440_257_d0,0
100100018,SER_20260912,100100018_108026440_83_d0,0
100100018,SER_20260912,100100018_108026440_83_d1,1
100100018,SER_20260912,100100018_108026442_59_d0,0
100100018,SER_20260912,100100018_108026442_59_d1,1
100100018,SER_20260912,100100018_108026488_158_d0,0
100100018,SER_20260912,100100018_108026488_158_d1,1
100100018,SER_20260912,100100018_108026488_207_d0,0
100100018,SER_20260912,100100018_108026488_207_d1,1
100100018,SER_20260912,100100018_108026489_178_d0,0
100100018,SER_20260912,100100018_108026489_178_d1,1
100100018,SER_20260912,100100018_108026489_230_d0,0
100100018,SER_20260912,100100018_108026489_230_d1,1
100100018,SER_20260912,100100018_108026490_78_d0,0
100100018,SER_20260912,100100018_108026490_78_d1,1
100100018,SER_20260912,100100018_108026491_159_d0,0
100100018,SER_20260912,100100018_108026491_159_d1,1
100100018,SER_20260912,100100018_108026491_197_d0,0
